tamainid,location_description,rdfeature,rdcharacter,rdclass,rdconfigur,rdsurface,rdcondition,lightcond,weather,trafcontrl,lat,lon,lon2,lat2,tract,zone,fatality,possblinj,numpassengers,numpedestrians,contrcir1_desc,contrcir2_desc,contrcir3_desc,contrcir4_desc,vehicle1,vehicle2,vehicle3,vehicle4,vehicle5,workarea,records,ta_date,ta_time,crash_date,geo_location,year,fatalities,injuries,month,contrfact1,contrfact2,contributing_factor,vehicleconcat1,vehicleconcat2,vehicleconcat3,vehicle_type
49409,50 FEET FROM SR 1615 (HIGH HOUSE RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49421,CARY,OFF-RAMP PROPER,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49423,.39 MILES FROM US 1 SB,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49434,300 FEET FROM US 1 HWY,MERGE LANE BETWEEN ON AND OFF RAMP,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49438,5 FEET FROM S.R.1152 (HOLLY SPRINGS RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49439,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49451,CARY,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49452,.33 MILES FROM US 1 NB ON RAMP,ON-RAMP ENTRY,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49462,0 FEET FROM SR 1009 (TRYON RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49463,356 FEET FROM SR 1315 (BUCK JONES RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49464,.21 MILES FROM US 1 SB,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49482,0.401 MILES FROM US 1,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49484,200 FEET FROM P.V.A. (1920 NW MAYNARD RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49489,100 FEET FROM NC HWY 55,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49492,.29 MILES FROM US 64 HWY E,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49496,.1 MILES FROM SR 1653 (EVANS RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49497,.83 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49504,425 FEET FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49508,60 FEET FROM SR 1652 (N. HARRISON AVE),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49514,10 FEET FROM SR 3060 (MORRISVILLE PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49517,.14 MILES FROM SR# 1613 (DAVIS DR),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49524,300 FEET FROM PVA (2861 JONES FRANKLIN RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49526,CARY,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49528,1 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49537,228 FEET FROM P.V.A. 101 RUBIN CT,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49540,150 FEET FROM SR 1615 (HIGH HOUSE RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49546,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49559,.3 MILES FROM P.V.A. (MIDDLE CREEK HIGH SHCO,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49561,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49575,50 FEET FROM SR 1615 (HIGH HOUSE RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49576,.01 MILES FROM SR3060 (MORRISVILLE PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49577,.25 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49578,73 FEET FROM WAR ADMIRAL CT,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49580,50 FEET FROM SR 1300 (KILDAIRE FARM RD),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49581,.25 MILES FROM US1 NB CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49588,0 FEET FROM SR 1652 (N HARRISON AVE),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49591,.02 MILES FROM P.V.A. 2350 WALNUT ST (KOHLS),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49598,250 FEET FROM US 1 N,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49613,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49619,.1 MILES FROM SR 1011 (E CHATHAM ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49620,0 FEET FROM SR 1011 (W CHATHAM ST),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49621,.145 MILES FROM PVA OF 300 ASHVILLE AVE,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49624,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49625,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49629,115 FEET FROM PVA  (802 E. CHATHAM ST),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49630,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49632,10 FEET FROM SR 1615 (HIGH HOUSE RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49639,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49641,NEAR 0.01 MILES SW OF SW P.V.A. 4308 1010 (TEN TEN RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49642,400 FEET FROM PVA-6630  GOOD HOPE CHURCH RD,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49643,0 MILES FROM SR 1319 (JONES FRANKLIN RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49644,0 FEET FROM SR 1415 (NW MAYNARD RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49653,150 FEET FROM GREEN ALDER CT,NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49661,0 FEET FROM MACARTHUR DR,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49666,0.06 MILES FROM SR 1315 (BUCK JONES RD),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49676,50 FEET FROM HONEYCOMB LN,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49677,10 FEET FROM US 1 EXIT98 RAMP SB,OFF-RAMP ENTRY,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49679,172 FEET FROM SR 1307 (W CHATHAM ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49697,0 FEET FROM NC 54,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49698,50 FEET FROM SR 1415 (SE MAYNARD RD),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49702,50 FEET FROM SR 1415 (NW MAYNARD RD),NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49703,1.37 MILES FROM US 1,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49714,CARY,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49715,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49719,.20 MILES FROM SR 3977 (SWCARY PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49720,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49721,.10 MILES FROM SR1617 (CARPENTER UPCHURCH RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49730,292 FEET FROM S.R. 1319 (JONES FRANKLIN RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49733,25 FEET FROM SR# 1497 (CARY TOWNE BLVD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49739,0 FEET FROM SR 1628 (OKELLY CHAPEL RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49740,200 FEET FROM SR 1313 (WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49744,0.1 MILES FROM BELROSE DR,NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49747,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49749,.22 MILES FROM P.V.A. 6560 TRYON RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49757,250 FEET FROM US 1 N,,,,,,,,,,,,,,,,0,0,,,,,,,PASSENGER CAR,,,,,,11513,10/23/2021,7:06:55 AM,2021-10-23T11:06:55+00:00,,2021,No,No,10,,,,PASSENGER CAR,PASSENGER CAR,PASSENGER CAR,PASSENGER CAR
49762,.25 MILES FROM NC 55 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49764,200 FEET FROM P.V.A. 1961 HIGH HOUSE RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49788,100 FEET FROM SR 1613 (DAVIS DR),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49800,200 FEET FROM PVA OF 280 MEETING ST,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49815,00 FEET FROM SR 1313 (WALNUT ST),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49820,400 FEET FROM US 64 HWY W,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49827,.126 MILES FROM COCHET CT,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49830,.11 MILES FROM US1 NB,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49833,200 FEET FROM SR 1313 (WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49846,182 FEET FROM SR 1387 (WEST LAKE RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49850,40 FEET FROM P.V.A. (750 E CHATHAM ST),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49864,400 FEET FROM BRIARDALE AVE,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49867,CARY,,,,,,,,,,35.77698007,-78.80366947,,,P008,114,0,1,,,,,,,PASSENGER CAR,,,,,,11623,11/14/2021,4:44:53 PM,2021-11-14T21:44:53+00:00,35.77698007,,,,,,,,,,,
49868,372 FEET FROM S.R. 1615 (HIGH HOUSE RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49869,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49875,CARY,,,,,,,,,,,,,,,,0,0,,,,,,,PASSENGER CAR,,,,,,11631,11/5/2021,3:19:59 PM,2021-11-05T19:19:59+00:00,,2021,No,No,11,,,,PASSENGER CAR,PASSENGER CAR,PASSENGER CAR,PASSENGER CAR
49879,00 FEET FROM SR 1415 (SE MAYNARD RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49883,435 FEET FROM SR #1415 (NW MAYNARD RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49887,.06 MILES FROM P.V.A. 1751 WALNUT ST,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49888,200 FEET FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49890,75 FEET FROM GIOVANNI CT,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49893,206 FEET FROM P.V.A. 1751 WALNUT ST (REI),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49911,250 FEET FROM SR 1319 (JONES FRANKLIN RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49916,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49919,25 FEET FROM P.V.A. (108 HIDDEN OAKS DR),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49921,1 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49924,0 FEET FROM SR 3977 (SW CARY PKWY),FOUR-WAY INTERSECTION,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49934,150 FEET FROM PVA OF KILDAIRE FARM RD S.R.13,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49936,5 FEET FROM SR 1652 (S HARRISON AVE),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49938,.05 MILES FROM SR 1652 (N HARRISON AVE),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49943,100 FEET FROM P.V.A. 106 CHOPTANK CT,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49956,400 FEET FROM SR 1300 (KILDAIRE FARM RD),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49964,CARY,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49969,0 FEET FROM PVA (7129 OKELLY CHAPEL RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49993,150 FEET FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49994,150 FEET FROM SW CARY PKWY S.R. 3977,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49995,100 FEET FROM SR 3011 (JENKS CARPENTER RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,CARY,T-INTERSECTION,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50017,.5 MILES FROM US1 SB TRYON,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50025,.07 MILES FROM US 64 W,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50027,0 FEET FROM SR 1619 (WALDO ROOD BLVD),FOUR-WAY INTERSECTION,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50029,.10 MILES FROM AVIATION PKWY,ON-RAMP ENTRY,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50030,100 FEET FROM P.V.A. (7025 WINSTON HILL DR),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50034,50 FEET FROM SR 3081 (CHAPEL HILL RD),T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50038,300 FEET FROM MONETA LN,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50040,.05 MILES FROM PP (3379 RISE DR),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50042,.5 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50045,175 FEET FROM PANORAMA PARK PL,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50046,.85 MILES FROM US 1,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,11802,11/27/2021,10:12 AM,2021-11-27T15:12:00+00:00,,2021,No,No,11,,,,,,,
50055,.1 MILES FROM P.V.A. (3710 DAVIS DR),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50069,55 FEET FROM SR #3081 (CHAPEL HILL RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50088,0 FEET FROM CAITBOO AVE,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50090,100 FEET FROM SR 3977 (SW CARY PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50106,CARY,,,,,,,,,,35.7737899,-78.76746398,,,P062,120,0,0,,,,,,,,,,,,,11862,10/26/2021,12:00 AM,2021-10-26T04:00:00+00:00,35.7737899,,,,,,,,,,,
50114,75 FEET FROM P.V.A. (301 CROSSROADS BLVD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50127,15 FEET FROM P.V.A. (6770 MCCRIMMON PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50129,CARY,ALLEY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50130,200 FEET FROM 1108 PARKSIDE MAIN ST,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50133,0.09 MILES FROM SR 3977 (SE CARY PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50143,308 FEET FROM CAITBOO AVE,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50154,.08 MILES FROM U.S. 1 (US 1 S OFF RAMP),OFF-RAMP ENTRY,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50156,88 FEET FROM SR 1624 (CARPENTER FIRE STATIO,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50176,0.1 MILES FROM SR 3073 (NW MAYNARD RD),RAILROAD CROSSING,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50177,0 FEET FROM SR 3977 (SE CARY PKWY),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50183,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50190,.1 MILES FROM QUEENSFERRY RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50196,.25 MILES FROM SR 3014(MORRISVILLE CARPENTER),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50197,10 FEET FROM JIM VALVANO DR,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50201,.01 MILES FROM NC 54 (CAHPEL HILL RD),RELATED TO INTERSECTION,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50208,0 FEET FROM SR 3073 (NW MAYNARD RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50209,450 FEET FROM P.V.A. (1920 NW MAYNARD RD),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50217,95 FEET FROM PARKMEADOW DR,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50221,CARY,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,11977,12/12/2021,3:17:56 PM,2021-12-12T20:17:56+00:00,,2021,No,No,12,,,,,,,
50229,.03 MILES FROM P.V.A. 8000 HYDON DAWN LN,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50234,30 FEET FROM E CHATHAM ST,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50237,.03 MILES FROM P.V.A. 6442 TRYON RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50238,111 FEET FROM 1809 WALNUT ST (PVA),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50240,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50241,55 FEET FROM OLDE WEATHERSTONE WAY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
